cn,cncode,year,region,incgr,dbacba,llgdp,cbagdp,dbagdp,ofagdp,pcrdbgdp,pcrdbofgdp,bdgdp,fdgdp,bcbd,ll_usd,overhead,netintmargin,concentration,roa,roe,costinc,zscore,inslife,insnonlife,stmktcap,stvaltraded,stturnover,listco_pc,prbond,pubond,intldebt,intldebtnet,nrbloan,offdep,remit
Afghanistan,AFG,1960,South Asia,Low-income economies,39.184,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,615.47,97.8713,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1961,South Asia,Low-income economies,30.73,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,420.956,107.324,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1962,South Asia,Low-income economies,22.677,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,308.333,124.904,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1963,South Asia,Low-income economies,20.1945,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,316.033,63.0877,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1964,South Asia,Low-income economies,18.1929,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,219.445,76.6723,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1965,South Asia,Low-income economies,24.396,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,182.353,88.3,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1966,South Asia,Low-income economies,23.5506,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,190.41,85.507,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1967,South Asia,Low-income economies,24.1078,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,193.587,82.6766,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1968,South Asia,Low-income economies,20.8458,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,174.313,92.1731,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1969,South Asia,Low-income economies,20.738,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,124.734,101.032,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1970,South Asia,Low-income economies,23.4577,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,151.477,103.432,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1971,South Asia,Low-income economies,19.0858,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,108.314,111.866,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1972,South Asia,Low-income economies,19.3419,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,114.014,121.015,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1973,South Asia,Low-income economies,21.007,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,129.329,122.1,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1974,South Asia,Low-income economies,22.2358,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,133.159,123.507,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1975,South Asia,Low-income economies,17.2003,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,100.344,129.956,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1976,South Asia,Low-income economies,14.2263,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,87.0765,153.986,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1977,South Asia,Low-income economies,14.1638,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,71.6642,184.597,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1978,South Asia,Low-income economies,14.3281,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,97.2891,196.852,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1979,South Asia,Low-income economies,15.2947,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,99.8773,219.39,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
Afghanistan,AFG,1980,South Asia,Low-income economies,21.1931,36.605648,8.923634,26.232584,1.54947,19.138935,19.412596,26.193485,26.16923,92.7691,210.18,2.236877,3.0823689,55.922085,0.85296386,14.64235,61.05476,14.448565,0.5484,0.51747406,13.658699989318848,2.93113,23.5442,0.059603453,0.90993,28.129766,1.5294819,0.254631,6.214132785797119,4.39015007019043,2.91073
